ds,yhat,yhat_lower,yhat_upper
2025-07-06,163.05766736673462,115.65395327016194,212.38608970829375
2025-07-07,177.02004040744777,133.75004516977228,222.29522890154286
2025-07-08,164.15504586705927,117.12802935862543,210.76303058125814
2025-07-09,185.37469402352804,139.67356981437806,232.2623098439034
2025-07-10,171.4685189208321,124.95337318182456,214.74192889434596
2025-07-11,169.14117615488743,120.08807978104417,217.7020382424322
2025-07-12,165.5393965733777,122.53514077628938,213.7213005873934
2025-07-13,169.13602702118388,122.5509281330077,217.82629433075385
2025-07-14,183.09840003907436,134.82491251718358,229.78993853011724
2025-07-15,170.2334054759049,119.79051048514454,223.72459620087514
2025-07-16,191.45305360957266,146.16763745240405,239.43178472560794
2025-07-17,177.54687848412618,132.43584371240908,226.01658760841457
2025-07-18,175.21953563641176,132.1766333459187,225.619769580097
2025-07-19,171.6177559960571,123.70103873571865,218.64036341055325
2025-07-20,175.21438638482377,128.89853131218092,224.96501980077866
2025-07-21,189.17675934381492,141.6323767588093,237.56292028078968
2025-07-22,176.31176472175184,131.34332088850456,223.23588105300294
2025-07-23,197.5314128183774,150.87065973438771,240.5158412150336
2025-07-24,183.62523765587866,132.88341437987683,231.27988016315783
2025-07-25,181.2978948300764,136.3425347071903,228.40709421367276
2025-07-26,177.6961152115992,130.4544836182465,225.6869161727452
2025-07-27,181.29274562232,133.08374557363325,226.90762483508894
2025-07-28,195.25511860907596,144.50741805240483,242.18969004451037
2025-07-29,182.39012401474918,133.68565470096746,232.9062109512819
2025-07-30,203.60977211722005,155.46039929404617,252.08020533129806
2025-07-31,189.70359696064742,141.81401074439506,235.86245660908006
2025-08-01,187.37625414071707,137.69453948025202,232.02123002457495
2025-08-02,183.77447452809963,134.91389622528612,231.29874933903082
2025-08-03,187.37110529983704,139.98454213536533,235.82813793670618
2025-08-04,201.33347864166498,153.7088178686138,250.2922255813639
2025-08-05,188.46848440249886,141.04604944534512,234.58417439106083
2025-08-06,209.68813286011198,161.6745960845761,257.1350370778885
2025-08-07,195.78195805862453,142.7437859027826,243.958748762929
2025-08-08,193.45461562464195,146.4412239726178,240.36405789096574
2025-08-09,189.8528363979508,140.92967850340955,234.81243765784558
2025-08-10,193.44946720039997,144.29759531072145,243.14056204145538
2025-08-11,207.41184057308809,160.86843488324232,250.33892259231422
2025-08-12,194.5468463646858,143.59638034380072,240.92816699600243
2025-08-13,215.76649485304665,164.09877587029098,264.3769895756227
2025-08-14,201.86036749611856,155.02508804264278,249.09740430581797
2025-08-15,199.5330724759862,150.17591303492858,250.93572486125444
2025-08-16,195.93134066302912,148.74779563243285,244.88079937984728
2025-08-17,199.5280188793218,150.2503356889723,247.21024205828374
2025-08-18,213.49043966573893,168.30269261188113,261.2819920051334
2025-08-19,200.6285427968288,153.56524449684449,251.23458916758722
2025-08-20,221.85128862471453,171.51528190586444,269.02529958645766
2025-08-21,207.94821119350277,157.1815616157695,255.00602504994012
2025-08-22,205.6239660989837,162.15624114602966,251.54823779168146
2025-08-23,202.02528421180125,153.24611294665968,249.60729208717967
2025-08-24,205.62531882092617,162.15372871561908,254.24022401838474
2025-08-25,219.5910960001858,172.26257111703345,267.16946548728913
2025-08-26,206.72950559846538,157.24310646382793,252.30236062119025
2025-08-27,227.95255789350975,179.27928838534726,277.5125433628003
2025-08-28,214.04978692942478,167.22174759418616,263.11915613372645
2025-08-29,211.7258483021279,163.30859676540155,258.4859099412698
2025-08-30,208.17902302209336,159.78386935513623,254.1424367064959
2025-08-31,211.830607771232,166.41376871401116,261.7969855151714
2025-09-01,225.84793509048788,178.42139568194682,272.3670292860799
2025-09-02,213.03789482873356,164.94230491739367,259.7643359985107
2025-09-03,234.3124972637849,185.8932341425154,281.76794724613706
2025-09-04,220.55492942574074,172.12984373639188,266.0379545220508
2025-09-05,218.37619392443216,169.2072628473196,264.3740978189369
2025-09-06,214.92302163033838,168.35870047173813,261.34412545818685
2025-09-07,218.6682593654964,170.7851433183039,267.25151478421486
2025-09-08,232.77923967073474,183.3364406975786,277.40662007891723
2025-09-09,220.19997010699296,168.06193986355888,266.0081406189891
2025-09-10,241.70534324006016,193.4708521717468,289.1612784266233
2025-09-11,228.0848931139828,177.30277890585742,275.8863631950493
2025-09-12,226.04327532466658,179.36801741793684,276.66203830919164
2025-09-13,222.7272207426776,176.5085612311417,273.2604400975647
2025-09-14,226.60957618976076,176.60203968684368,273.18539545708
2025-09-15,241.01780290304018,195.50688083677855,283.95031392198337
2025-09-16,228.59866203526948,179.4857856578656,272.2900207787225
2025-09-17,250.26416386434795,202.67260538264554,301.3109392157531
2025-09-18,236.8038424342559,191.7269958564692,281.42400837729537
2025-09-19,234.92235334097083,185.41726292173774,281.61023427281896
2025-09-20,231.92255316688087,184.25219560970734,280.7451438984242
2025-09-21,236.12116302202514,190.67709340141153,286.29932455107297
2025-09-22,250.6855154472871,203.44394773143858,295.85298858724855
2025-09-23,238.42250029155434,187.65993540639985,286.169731011602
2025-09-24,260.2441278326106,212.12455200448238,302.92634950041185
2025-09-25,247.108062686529,200.73446064454495,296.6225747842856
2025-09-26,245.5508298771883,199.2721177843861,295.0935049818683
2025-09-27,242.719160275173,193.22846168386553,288.9958149115809
2025-09-28,247.08590070233103,201.2494440660739,295.7263127445566
2025-09-29,261.81838369958916,215.7402535799275,308.85317394904456
2025-09-30,249.72349911583925,200.9638254788141,297.70026252899794
2025-10-01,271.8800862598749,225.25140234990835,318.51846590550264
2025-10-02,258.91085014480205,212.29825803018116,306.5404704689425
