ds,yhat,yhat_lower,yhat_upper
2025-07-06,157.60511912272537,119.0003350021222,197.75648874942465
2025-07-07,182.20931538144097,142.64701312660551,222.52170768989976
2025-07-08,165.84773438638146,124.32822912027983,203.7003245194355
2025-07-09,182.07177609621658,141.32834753706362,223.95107250789718
2025-07-10,164.47053217926705,127.34816712910765,202.7641627037708
2025-07-11,175.08128909787686,137.5189597047449,214.89050089918217
2025-07-12,178.4156918827431,138.47197049952476,216.61333286730596
2025-07-13,198.45765904856833,159.49440648066914,236.00109528659428
2025-07-14,186.9309573500665,147.08602682257077,227.01652234641608
2025-07-15,168.1195800596529,130.39030782001393,206.01244104520808
2025-07-16,183.9866082712407,145.64450397566856,223.72902586718527
2025-07-17,175.569280712659,135.62255067233716,211.64579718205204
2025-07-18,184.61085826715157,147.32166362523637,224.9892872154139
2025-07-19,197.47880355648846,159.72343989226306,236.05279831813817
2025-07-20,195.86326344887925,158.78336345534154,235.40429033568006
2025-07-21,197.8961045298663,155.5683073332694,235.90271227345275
2025-07-22,190.06406734762345,150.34425630690032,229.7959902515168
2025-07-23,198.56880647442702,159.02142424821776,237.52497861999134
2025-07-24,201.8916526806484,163.61022691679796,242.69790889894702
2025-07-25,199.20410597712288,162.66520684713618,239.0770296209417
2025-07-26,175.90052256410883,136.66912118318595,214.14201628396518
2025-07-27,179.50210775452715,137.91125961909174,220.08657819042156
2025-07-28,183.4271691034617,144.56269442734865,222.72139957559554
2025-07-29,173.60252944590266,134.2526520996712,210.6710439590324
2025-07-30,186.15828215712972,151.18798504058054,231.5670427232315
2025-07-31,182.17268157215054,141.59751484464243,219.0613853375119
2025-08-01,188.32913749706964,149.40554205592403,225.2806515997322
2025-08-02,184.5290018796974,144.91852933157458,223.1582587426439
2025-08-03,169.5831599159456,128.76277167116498,207.05103135924873
2025-08-04,202.20417775785683,164.09864675778852,242.9978862949318
2025-08-05,184.7995603484469,145.65643306235057,222.6530162787254
2025-08-06,184.82450947914154,147.41017189717186,223.87961761147508
2025-08-07,210.83959853395655,172.3968191394674,250.68944142206269
2025-08-08,189.79286226476503,149.9437200674055,230.157949751519
2025-08-09,178.04236239110648,138.27153496090523,218.01111041385408
2025-08-10,196.73085043432832,155.99005652179912,234.68750977010626
2025-08-11,195.8344105852795,154.5995652263035,235.77226355796543
2025-08-12,188.86455070821674,149.03477160857256,230.2488590802176
2025-08-13,213.82713440999976,173.1894992939297,252.89491233550015
2025-08-14,185.01743455288675,146.77765341157274,224.71492694026708
2025-08-15,211.50362856629997,173.25671717589734,247.90134497192614
2025-08-16,184.58994627847903,145.230335999614,225.24146486393178
2025-08-17,194.56483714568844,153.61242655390024,233.60725166267426
2025-08-18,179.9457726414737,141.16302426079943,217.3282985268828
2025-08-19,220.24773060340655,181.24192793920355,260.40993151981723
2025-08-20,233.0859245557314,194.2656150101468,271.66120225062843
2025-08-21,222.19943009153874,179.5153354225851,260.3257719091874
2025-08-22,210.63480861402084,172.5974607502046,246.5812837838956
2025-08-23,206.47785106760523,169.95808134642468,248.36466778321193
2025-08-24,216.6078557565429,177.75292777073315,259.06088253525957
2025-08-25,222.26431135038644,183.1263052338422,261.9699386879913
2025-08-26,211.17253358752785,172.99060607678487,250.11676051577803
2025-08-27,218.9853705176601,179.87830157579543,258.111827174116
2025-08-28,199.98768525530218,161.54846690633812,240.3776321693221
2025-08-29,201.4844738794183,158.39483382538555,241.20382418343837
2025-08-30,201.01121785159728,164.11621602281008,240.31726891383715
2025-08-31,210.24738133312255,171.21926213747886,249.75097441625
2025-09-01,218.20832782041543,181.49979255818326,257.0724289857058
2025-09-02,216.14312456144083,177.60091539934254,253.21972819179928
2025-09-03,212.8953985897921,175.37443862155493,251.45895016604143
2025-09-04,215.31220331281529,176.8720431555293,252.74814432934582
2025-09-05,205.63662640866647,167.84757260499234,244.31054730713788
2025-09-06,220.08084786001632,179.99876115842696,257.763776654131
2025-09-07,310.4941584819234,272.0854470716896,350.69600955708495
2025-09-08,226.38808399415873,185.79142320625377,262.92758623701303
2025-09-09,215.7573666858668,176.72543848255037,254.19602312782467
2025-09-10,232.97238572955212,196.02015821811747,271.60104090784563
2025-09-11,217.3735779647048,178.0767563101021,256.5295282564273
2025-09-12,224.21782187501097,184.54993029045613,263.8694728096866
2025-09-13,216.76647826921948,176.9934650443582,256.64145533099696
2025-09-14,215.23656767412064,175.2747964105141,255.5571418610893
2025-09-15,216.4579707436269,176.72772037658734,255.1976066203744
2025-09-16,224.57944823741758,183.1588195000181,261.2379216016562
2025-09-17,243.82020655421516,203.96399505814253,283.67415564891417
2025-09-18,238.12189620294146,198.25154521579842,276.75790856975294
2025-09-19,250.3286026506889,210.96118286307558,288.69157178923734
2025-09-20,241.1075594687493,203.9796252374772,280.2704194572956
2025-09-21,232.31488511112212,192.9610025974582,274.1603922029038
2025-09-22,259.8804725498504,220.87975623451524,296.16695452770443
2025-09-23,230.5263037408729,189.1241082246159,269.61998950174626
2025-09-24,225.46851450814316,187.9795882233486,264.6143463402211
2025-09-25,252.96679716990022,213.59013360183206,292.9245521513052
2025-09-26,227.9294112683507,189.71483421965888,266.786848017159
2025-09-27,227.1339220085696,185.32437510994882,268.2551362531247
2025-09-28,222.9821105938908,182.35006036081626,261.6963099075813
2025-09-29,241.19522260534978,205.48777968411747,280.21886687742665
2025-09-30,233.6956534178147,196.07169154830004,271.42583024749285
2025-10-01,240.55676549664122,202.558854330583,279.51128454936975
2025-10-02,266.15747572742436,226.20316968506972,301.5807509766448
2025-10-03,247.13214365530547,204.8062615018282,284.1873965602089
2025-10-04,250.08869450834072,209.9456843210348,287.32999095062485
2025-10-05,255.3434822293338,215.33625804049015,294.70995976680706
2025-10-06,265.87566883549,226.4437350718916,304.27476285751766
2025-10-07,238.98503141174086,200.11941944468302,276.07172467070114
2025-10-08,358.5397224074277,317.9663913529204,396.14724375304985
2025-10-09,267.70944531693704,229.3864234567001,304.83262998219794
2025-10-10,256.4850766206064,216.82327732917096,293.43589975073286
2025-10-11,290.49254548643705,252.0364105781297,329.63429443269354
2025-10-12,272.00090453194287,230.82845639863555,312.22578141133914
2025-10-13,287.93328136201177,247.98478808359883,326.8247436935952
2025-10-14,262.04803772305894,224.2413164931229,300.9245293504113
2025-10-15,273.509505744212,233.0485887858105,316.24638363748244
2025-10-16,258.5738965240757,219.72211226770855,297.97946357056077
2025-10-17,274.3021617529663,239.47218469959253,314.18077852741885
2025-10-18,312.6143457355357,273.6381388115822,352.3866895621231
2025-10-19,305.1532465482395,265.13477698328285,345.43359949263964
2025-10-20,386.2960115416082,346.599904304698,426.30105766661956
2025-10-21,310.6881123490679,272.80206670226136,348.4511765539498
2025-10-22,350.75357359048456,310.7406105793339,390.60066394507396
2025-10-23,287.5580429175075,248.94295025942014,327.2748214566661
2025-10-24,279.1493214423421,239.24874986904757,318.10198662937
2025-10-25,278.992050728496,241.9525246284706,316.28937809177023
2025-10-26,282.0025866519518,239.9477934640638,320.86739525096755
2025-10-27,320.29511357768894,279.5968155391569,360.9563932163998
2025-10-28,288.79273976022654,250.01916143727792,326.35212467787113
2025-10-29,311.2772771171595,269.90704823205317,350.8376805764821
2025-10-30,331.33893872317367,290.7446238236451,371.18845516096246
2025-10-31,287.10384498917864,244.24639301517485,325.31640357436356
2025-11-01,291.47400262622045,252.42387495777788,332.83881324172074
2025-11-02,301.98716679903094,265.60908422429964,340.3584192970093
2025-11-03,337.9243613582943,299.171090688549,375.893449301047
2025-11-04,348.29484822410643,310.50882917214244,386.9602114264042
2025-11-05,411.79965539955367,374.6786681022812,449.50384608339584
2025-11-06,344.5164572151079,304.8428940100437,384.7772324878299
2025-11-07,342.2389656748541,303.3424139955595,382.11021267509244
2025-11-08,299.9802485416303,259.9909266603479,342.42062886503163
2025-11-09,311.3850420949392,269.9347550056489,351.33168981779625
2025-11-10,378.8100612402137,340.17091420391824,418.35208411352215
2025-11-11,327.24820236867777,287.70601077809675,364.41196719812933
2025-11-12,364.5007691128531,322.9076397549837,403.23539962982824
2025-11-13,338.4673003201869,298.0388557438064,376.55146853644897
2025-11-14,295.8249434654738,256.0042206977421,336.8897288459822
2025-11-15,325.2551186464609,287.4197831609301,361.71745820355414
2025-11-16,328.8259038436561,291.79057503767586,367.6962335714158
2025-11-17,396.9327334707799,359.2999846561332,438.1125600236816
2025-11-18,381.8436445830606,339.2051949490414,421.9094283257166
2025-11-19,384.0698451760071,344.25733927112867,425.4676308526171
2025-11-20,396.28205123979507,357.9949832410457,436.51970729815184
2025-11-21,442.3598489912537,401.9662687659402,479.4197415736537
2025-11-22,415.9120264069336,373.0887420495219,454.85866650990874
2025-11-23,349.86414271567804,310.5196769349175,389.85699827672505
2025-11-24,356.5510498775189,316.09877605217486,396.2840029387314
2025-11-25,377.92153717421405,340.34073006502365,415.318574877104
2025-11-26,397.1477354598583,356.8442706779089,434.40596005945974
2025-11-27,361.2354755442423,323.492157812473,398.94626578436646
2025-11-28,388.7039922410405,350.60876469973834,428.58424601094754
2025-11-29,345.02636067990164,304.6505201575263,381.7435729596239
2025-11-30,365.6432441953385,323.18653293498755,404.3968771737927
2025-12-01,348.5093993761391,308.1233368649163,386.04126486161323
2025-12-02,363.4169014586493,321.8536295593709,405.48453563213593
2025-12-03,391.95845451463674,353.06001713205706,430.7789206756226
2025-12-04,407.7735705812655,372.10755803041764,446.2364253486609
2025-12-05,409.1181308927606,369.8650583914361,448.94644039930813
2025-12-06,404.72759438094624,366.2661579035909,445.08786260389303
2025-12-07,396.46308597132577,358.58079554249866,437.24079410355114
2025-12-08,407.82112222209554,368.83890665662096,449.13237518158314
2025-12-09,367.60461591488115,327.42570781287935,408.61826911346736
2025-12-10,399.21128119139144,361.84909033705935,440.57605432539026
2025-12-11,452.6890624675563,413.2278589898212,492.24487506027657
2025-12-12,393.6312234924388,354.7918655037962,433.4248342934923
2025-12-13,394.3692185903915,357.20898159240375,434.22016755846477
2025-12-14,400.02162826394147,361.1515308355314,439.9839180085875
2025-12-15,356.5011349339156,317.99570200737924,395.18322213197615
2025-12-16,378.01270437718676,338.3366420969793,416.924909735528
2025-12-17,372.820069502314,332.85645365742687,412.2982031980699
2025-12-18,453.7540193108882,416.0807258978081,494.542745773895
2025-12-19,472.89901095440524,435.0576152173598,511.85681027867093
2025-12-20,447.32069736861405,406.79665134453097,486.59769926959194
2025-12-21,472.7774452983542,434.66802581634147,512.4558022393591
2025-12-22,478.7026886561464,441.4635225877193,519.7705347678633
2025-12-23,448.09577225369435,410.0468076339016,489.48588571820875
2025-12-24,419.1507663680649,381.38561708395133,458.11956392098597
2025-12-25,492.4058234644353,453.8542483130706,530.6699652658364
2025-12-26,425.7486887390986,387.0531508471503,466.2484059041141
2025-12-27,430.4351803306771,390.6192951599968,468.7851949173546
2025-12-28,420.1511192890158,381.2582420306742,460.6533082285526
2025-12-29,461.3687619959836,420.11815575968745,499.00345392775256
2025-12-30,433.00285166319384,390.6621441118669,471.64989365266706
2025-12-31,422.0695036961572,381.2748702448509,461.3198390534217
2026-01-01,443.1071578775951,405.8110509347322,483.1103867143042
2026-01-02,451.7568150683212,413.82414207517274,489.39537483081506
2026-01-03,466.9004890992354,428.40322856801623,503.1193848514166
2026-01-04,468.771976028042,427.2989642260644,509.2900448275937
2026-01-05,462.4989502451616,425.21798642243425,502.8786658563432
2026-01-06,453.23969322960056,415.5181749054276,493.5355530238126
2026-01-07,467.96683204294624,428.66746181301636,508.095913085428
2026-01-08,467.946344094725,427.4868039402369,508.5046534318843
2026-01-09,461.6510985467817,423.4794872642605,502.32340408142704
2026-01-10,476.79477257768895,435.3206829770366,516.265046006178
2026-01-11,478.66625950648745,440.1813094985565,517.7326570295122
2026-01-12,472.3932337236002,430.5002889948084,508.19288951111827
2026-01-13,463.13397670804886,420.86159629254803,504.4775462443472
2026-01-14,477.861115521413,436.57343602220675,515.0655298798399
2026-01-15,477.84062757319725,436.8286648942327,517.7402207044327
2026-01-16,471.5453820251889,432.9431006051179,508.47590007855496
2026-01-17,486.6890560560983,446.0562520170538,524.8483366098435
2026-01-18,488.5605429849265,451.5373696250723,526.4028404913224
2026-01-19,482.28751720203894,442.64792698833423,522.9125786158621
2026-01-20,473.02826018647846,435.4051405535643,514.0476566811506
2026-01-21,487.755398999853,447.4783578841111,528.115844918929
2026-01-22,487.7349110516403,450.35405639850967,525.3700657973382
2026-01-23,481.4396655036495,441.7334534224814,520.7038894218138
2026-01-24,496.5833395345518,455.06297472198827,535.0220071393371
2026-01-25,498.45482646337206,459.24544278558653,539.6853916262236
2026-01-26,492.1818006804708,451.71330947521534,531.9472018971744
2026-01-27,482.9225436649453,444.91337643407047,520.6577358832993
2026-01-28,497.6496824782665,458.9652612537447,538.1648001107152
2026-01-29,497.6291945301126,459.5269669603804,539.2124682145802
2026-01-30,491.3339489821102,450.2902944418848,528.3113934042875
2026-01-31,506.477623012987,463.7250232691392,547.8575994224685
2026-02-01,508.3491099418111,469.6221335528271,549.1340433239603
