ds,yhat,yhat_lower,yhat_upper
2025-07-06,162.17762511731968,113.12496759769083,211.9244921748456
2025-07-07,176.25112761062474,126.23810406065243,222.68746274457516
2025-07-08,167.45070030981805,121.21422045338652,214.60629987126336
2025-07-09,180.19432461433829,130.70863473247667,225.35655189348503
2025-07-10,170.83576567468174,121.4008376346933,223.65378248510973
2025-07-11,169.38053538274698,122.58994278614858,217.28529144364975
2025-07-12,168.28219488625754,118.6718060931855,215.33231585271852
2025-07-13,167.86342329939848,117.35780646526806,215.5532342770831
2025-07-14,182.39953587027472,133.86250500494862,232.02069544854587
2025-07-15,173.26314504265704,125.67931359560713,221.01482642959138
2025-07-16,186.41825506455436,142.24631103851308,233.8365630920556
2025-07-17,176.70747772335125,131.10610413212981,226.49424425093454
2025-07-18,175.17378511245886,129.4310114418,220.96358589917196
2025-07-19,174.00989253705396,123.08769093149125,221.49957502579588
2025-07-20,173.5492213248274,123.11345574912387,223.9806173941178
2025-07-21,188.54794397254327,138.82651055205753,235.06205742954884
2025-07-22,179.07558963804664,132.412095344,230.0010428158085
2025-07-23,192.64218537644777,145.7536521103168,239.92857661372534
2025-07-24,182.57918964982446,134.54059214187512,232.9102047980305
2025-07-25,180.96703475568523,135.56595052313526,227.64214542518988
2025-07-26,179.73759011201864,134.80872666885065,229.94436373070167
2025-07-27,179.23501928477415,131.52797311127904,229.88424277246997
2025-07-28,194.6963520129487,146.09748822832475,240.6942277736065
2025-07-29,184.8880341834134,138.6382996111516,234.60119997450767
2025-07-30,198.86611565036483,150.58707701799403,244.1484306008853
2025-07-31,188.45090155529223,140.94996718081637,235.97345980923657
2025-08-01,187.39110910382212,142.67149682199712,236.30583325228827
2025-08-02,186.0989078221929,139.08556463956685,233.9494012557862
2025-08-03,185.55723285193827,138.41962914017108,235.31983373413752
2025-08-04,201.48397114106658,153.55719598269292,248.58959259700677
2025-08-05,191.3424852879347,143.31568764776253,241.21734743140564
2025-08-06,205.73484796778308,158.18597774053762,254.19539958631375
2025-08-07,194.97021096724458,144.75842817330826,241.08977819133713
2025-08-08,193.2039269951182,146.8065750883812,242.31888107997878
2025-08-09,191.8461737024309,146.91981042094775,243.18747133166133
2025-08-10,191.2625991325358,143.0474475402828,240.92865529607909
2025-08-11,207.65194754887182,157.8715262555463,257.4036874914357
2025-08-12,197.17449820014022,148.04870976464082,246.21405264025006
2025-08-13,211.9783466520982,164.15407334257998,258.28908729694166
2025-08-14,200.86149133998003,153.6439620906198,245.72485469114085
2025-08-15,199.01674514441544,151.7653164389959,246.13101392490887
2025-08-16,197.5934398427068,145.91818637205003,244.5270100798049
2025-08-17,196.96796571816256,149.75758280854666,247.92440633567185
2025-08-18,213.81992433693398,166.30725116775412,262.74026654800383
2025-08-19,203.0071937466771,152.11059665852486,249.39246732380184
2025-08-20,218.22330654861682,166.4720208960838,264.50103687660925
2025-08-21,206.75483957395565,159.75257938836222,260.10378409183994
2025-08-22,204.83228353309732,153.8327084465817,250.82295957405134
2025-08-23,203.34406779717727,159.3398136665758,250.72576412734549
2025-08-24,202.68004798635997,154.82025285663528,255.7520878252157
2025-08-25,219.99881364486583,171.35320673796687,270.12646496744236
2025-08-26,208.8522963350021,159.7848754578924,260.6361619955089
2025-08-27,224.48378518523617,175.50857516709036,270.76597960740645
2025-08-28,212.6649412875302,164.57606608893204,260.88329028782204
2025-08-29,210.6664343757571,163.11865923128576,258.73545181821214
2025-08-30,209.1601015406316,160.0624240217787,254.50530818616025
2025-08-31,208.49829771862716,156.41921856752705,258.63703199459263
2025-09-01,227.05511891203184,180.71800913191564,274.62054996381204
