ds,yhat,yhat_lower,yhat_upper
2025-07-06,163.93073319253608,123.18273836210315,204.51824031730723
2025-07-07,182.25968794600735,142.92684080336392,219.13411381961927
2025-07-08,170.2145392902394,128.52469793404669,208.12511458426778
2025-07-09,180.599572054203,143.31881748987402,222.25448755177828
2025-07-10,168.29211116925202,127.85821634763606,208.00317528978445
2025-07-11,176.66944993381264,138.74294483595278,215.27152764099057
2025-07-12,180.32607378964335,141.86282529647232,221.96210039463548
2025-07-13,193.58678843753307,153.6194957509197,234.5793315198538
2025-07-14,186.64034049761162,148.0157539530165,224.21997709785305
2025-07-15,172.16068203752963,135.01179340593802,212.43890877376333
2025-07-16,182.69649492709445,143.74274025597228,221.9633096728735
2025-07-17,176.8244050173543,136.36463042748278,214.14392844271816
2025-07-18,184.37594066428034,145.53420735980177,224.03809157329704
2025-07-19,194.11193693711687,152.69763747730357,233.7700547471059
2025-07-20,191.67329844328756,154.53786488381758,230.59889872383323
2025-07-21,194.67105362752082,157.0713870600998,234.3628318454735
2025-07-22,189.14109168045704,152.0295703859996,228.3419718889265
2025-07-23,192.85527131938002,154.64715313192684,232.2050969876985
2025-07-24,195.9736249384259,157.38525837031997,235.08449720331592
2025-07-25,194.7891702517598,156.5948020448083,232.92767022068972
2025-07-26,178.83198431851642,140.40488365301954,216.3551341726432
2025-07-27,183.34883580707566,144.43495101634753,224.472623137013
2025-07-28,186.89301156134354,150.28748284257742,226.14814460324965
2025-07-29,178.7876971012533,138.90029149080658,213.97747204547574
2025-07-30,186.96432560659517,148.9075092566656,230.2381356224667
2025-07-31,184.500522994659,145.27232459336417,223.5270129056421
2025-08-01,188.92384527982736,150.74159150842166,230.38343094448865
2025-08-02,187.5480782184958,147.03673780606914,226.87158044668783
2025-08-03,175.68098233993874,135.75880626083625,212.74927049917562
2025-08-04,201.7342657038666,162.28218082168715,238.88788884974343
2025-08-05,186.99205241056652,145.68334336049674,224.227128275545
2025-08-06,186.56432948250458,143.94993161347494,228.2114986004327
2025-08-07,207.17584351206187,171.9686260425969,245.6716299560958
2025-08-08,190.5000083828468,151.4297663535537,232.31116435012117
